time,spo2_pct,pulse_bpm
2025-11-10T16:19:00Z,97.0,87.0
2025-11-10T17:04:00Z,97.5,89.0
2025-11-10T18:08:00Z,99.0,79.0
2025-11-10T19:19:00Z,98.0,67.0
2025-11-10T20:30:00Z,98.0,57.0
2025-11-10T21:00:00Z,99.0,72.5
2025-11-11T00:00:00Z,100.0,114.0
2025-11-11T01:00:00Z,98.0,118.0
2025-11-11T04:51:00Z,100.0,91.0
2025-11-11T06:52:00Z,100.0,108.0
2025-11-11T11:41:00Z,100.0,90.0
2025-11-11T15:40:00Z,98.0,77.0
2025-11-11T16:10:00Z,99.5,
2025-11-11T16:51:00Z,99.0,90.0
2025-11-11T17:21:00Z,99.5,85.0
2025-11-11T18:21:00Z,98.0,92.0
2025-11-11T19:21:00Z,99.0,93.0
2025-11-11T20:28:00Z,99.0,90.0
2025-11-11T21:00:00Z,98.0,72.0
2025-11-11T22:56:00Z,99.0,95.0
2025-11-12T09:28:00Z,99.0,96.0
2025-11-12T17:22:00Z,98.0,88.0
2025-11-12T18:55:00Z,100.0,75.0
2025-11-12T19:40:00Z,98.0,76.0
2025-11-12T20:10:00Z,98.0,73.0
2025-11-12T21:10:00Z,100.0,82.0
2025-11-12T22:03:00Z,98.5,74.0
2025-11-12T23:24:00Z,100.0,93.0
2025-11-13T01:10:00Z,99.0,100.0
2025-11-13T06:20:00Z,100.0,89.0
2025-11-13T07:06:00Z,100.0,97.0
2025-11-13T11:42:00Z,98.0,96.0
2025-11-14T02:02:00Z,100.0,91.0
2025-11-14T03:14:00Z,99.0,96.0
2025-11-14T05:02:00Z,98.5,88.5
2025-11-14T08:19:00Z,95.0,88.0
2025-11-14T10:21:00Z,100.0,93.0
2025-11-14T13:28:00Z,99.0,93.0
2025-11-14T13:58:00Z,98.0,86.0
2025-11-14T14:29:00Z,99.0,75.0
2025-11-14T17:13:00Z,99.0,76.0
2025-11-14T18:08:00Z,100.0,73.0
2025-11-14T18:38:00Z,99.0,81.0
2025-11-14T19:09:00Z,99.0,79.0
2025-11-14T20:45:00Z,99.0,69.0
2025-11-14T22:02:00Z,99.0,98.0
2025-11-14T22:36:00Z,100.0,78.0
2025-11-15T08:41:00Z,100.0,82.0
2025-11-15T10:25:00Z,96.0,87.0
2025-11-15T12:16:00Z,97.0,88.0
2025-11-15T13:20:00Z,100.0,91.0
2025-11-15T14:12:00Z,98.5,78.0
2025-11-15T15:37:00Z,99.0,73.0
2025-11-15T16:07:00Z,99.5,78.0
2025-11-15T17:08:00Z,100.0,67.0
2025-11-15T18:24:00Z,99.0,78.0
2025-11-15T19:00:00Z,97.0,73.0
2025-11-15T20:46:00Z,98.0,54.0
2025-11-15T21:41:00Z,98.0,79.0
2025-11-15T22:12:00Z,99.5,56.0
2025-11-15T23:51:00Z,96.0,96.0
2025-11-16T01:00:00Z,100.0,107.0
2025-11-16T04:14:00Z,96.5,101.0
2025-11-16T04:46:00Z,96.0,
2025-11-16T08:46:00Z,95.0,100.0
2025-11-16T11:49:00Z,97.0,87.0
2025-11-16T12:53:00Z,98.0,89.0
2025-11-16T13:56:00Z,97.0,90.0
2025-11-16T15:11:00Z,99.0,82.0
2025-11-16T18:36:00Z,97.0,63.0
2025-11-16T19:07:00Z,98.0,68.0
2025-11-16T20:19:00Z,98.0,63.0
2025-11-16T21:50:00Z,98.0,65.0
2025-11-17T00:54:00Z,99.0,101.0
2025-11-17T05:38:00Z,97.0,103.0
2025-11-17T08:30:00Z,99.0,110.0
2025-11-17T15:01:00Z,99.0,82.5
2025-11-17T16:28:00Z,99.5,87.0
2025-11-17T18:41:00Z,98.0,94.0
2025-11-17T19:11:00Z,99.0,86.0
2025-11-17T20:11:00Z,99.0,72.0
2025-11-17T20:42:00Z,100.0,63.0
2025-11-17T21:12:00Z,100.0,79.0
2025-11-17T22:42:00Z,100.0,83.0
2025-11-17T23:16:00Z,100.0,75.0
2025-11-18T03:02:00Z,100.0,89.0
2025-11-18T11:08:00Z,98.0,98.0
2025-11-18T15:35:00Z,97.0,67.0
2025-11-18T16:05:00Z,99.0,71.0
2025-11-18T17:05:00Z,99.0,68.0
2025-11-18T17:35:00Z,100.0,79.0
2025-11-18T18:05:00Z,99.0,69.5
2025-11-18T19:21:00Z,100.0,72.5
2025-11-18T20:57:00Z,99.0,61.0
2025-11-18T21:27:00Z,98.0,79.0
2025-11-18T22:27:00Z,100.0,73.0
2025-11-19T05:29:00Z,100.0,103.0
2025-11-19T07:04:00Z,97.0,97.0
2025-11-19T08:58:00Z,100.0,90.0
2025-11-19T13:41:00Z,99.0,89.0
2025-11-19T14:35:00Z,97.0,81.0
2025-11-19T15:32:00Z,99.0,78.0
2025-11-19T19:53:00Z,100.0,87.0
2025-11-19T20:32:00Z,97.0,89.0
2025-11-19T21:02:00Z,97.5,73.0
2025-11-19T22:44:00Z,98.0,76.0
2025-11-19T23:48:00Z,100.0,82.0
2025-11-20T01:15:00Z,98.0,94.0
